,NSC #1,Drug name,FDA status,Mechanism of action,NSC #2,Drug name.1,FDA status.1,Mechanism of action.1
0,740.0,METHOTREXATE,FDA approved,Df|DHFR,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH
1,740.0,METHOTREXATE,FDA approved,Df|DHFR,3053.0,Actinomycin D,FDA approved,Db
2,740.0,METHOTREXATE,FDA approved,Df|DHFR,3088.0,Chlorambucil,FDA approved,A7|AlkAg
3,740.0,METHOTREXATE,FDA approved,Df|DHFR,8806.0,Melphalan,FDA approved,A7|AlkAg
4,740.0,METHOTREXATE,FDA approved,Df|DHFR,9706.0,Triethylenemelamine,FDA approved,A7|AlkAg
5,740.0,METHOTREXATE,FDA approved,Df|DHFR,13875.0,Altretamine,FDA approved,Db|AlkAg
6,740.0,METHOTREXATE,FDA approved,Df|DHFR,19893.0,Fluorouracil,FDA approved,Ds|Rs|TYMS
7,740.0,METHOTREXATE,FDA approved,Df|DHFR,24559.0,Mithramycin,FDA approved,Db|Rs
8,740.0,METHOTREXATE,FDA approved,Df|DHFR,32065.0,Hydroxyurea,FDA approved,AM|Dr
9,740.0,METHOTREXATE,FDA approved,Df|DHFR,34462.0,Uracil mustard,FDA approved,A7|AlkAg
10,740.0,METHOTREXATE,FDA approved,Df|DHFR,38721.0,Mitotane,FDA approved,A7|Ho|AlkAg|anti-Ho|CYP11A1
11,740.0,METHOTREXATE,FDA approved,Df|DHFR,45388.0,DACARBAZINE,FDA approved,A7|AlkAg
12,740.0,METHOTREXATE,FDA approved,Df|DHFR,49842.0,Vinblastine,FDA approved,TUBB|Tu-frag
13,740.0,METHOTREXATE,FDA approved,Df|DHFR,71423.0,Megestrol acetate,FDA approved,Ho|PGR
14,740.0,METHOTREXATE,FDA approved,Df|DHFR,79037.0,Lomustine,FDA approved,A6|AlkAg
15,740.0,METHOTREXATE,FDA approved,Df|DHFR,82151.0,Daunorubicin,FDA approved,TOP2
16,740.0,METHOTREXATE,FDA approved,Df|DHFR,102816.0,AZACITIDINE,FDA approved,DNMT
17,740.0,METHOTREXATE,FDA approved,Df|DHFR,122819.0,Teniposide,FDA approved,TOP2
18,740.0,METHOTREXATE,FDA approved,Df|DHFR,123127.0,Doxorubicin,FDA approved,TOP2
19,740.0,METHOTREXATE,FDA approved,Df|DHFR,125066.0,Bleomycin,FDA approved,Db
20,740.0,METHOTREXATE,FDA approved,Df|DHFR,125973.0,Paclitaxel,FDA approved,TUBB|Tu-stab
21,740.0,METHOTREXATE,FDA approved,Df|DHFR,138783.0,Bendamustine,FDA approved,A2|A6|AlkAg
22,740.0,METHOTREXATE,FDA approved,Df|DHFR,141540.0,Etoposide,FDA approved,TOP2
23,740.0,METHOTREXATE,FDA approved,Df|DHFR,169780.0,Dexrazoxane,FDA approved,TOP2|NonCan:Cardioprotective
24,740.0,METHOTREXATE,FDA approved,Df|DHFR,226080.0,RAPAMYCIN,FDA approved,"PK:STK,MTOR"
25,740.0,METHOTREXATE,FDA approved,Df|DHFR,246131.0,Valrubicin,FDA approved,TOP2
26,740.0,METHOTREXATE,FDA approved,Df|DHFR,279836.0,MITOXANTRONE,FDA approved,TOP2
27,740.0,METHOTREXATE,FDA approved,Df|DHFR,608210.0,Vinorelbine,FDA approved,TUBB|Tu-frag
28,740.0,METHOTREXATE,FDA approved,Df|DHFR,628503.0,Docetaxel,FDA approved,TUBB|Tu-stab
29,740.0,METHOTREXATE,FDA approved,Df|DHFR,673596.0,7-Ethyl-10-hydroxycamptothecin,FDA approved,TOP1
30,740.0,METHOTREXATE,FDA approved,Df|DHFR,698037.0,Pemetrexed,FDA approved,Df|AM|GARTF|DHFR|TYMS
31,740.0,METHOTREXATE,FDA approved,Df|DHFR,701852.0,Vorinostat,FDA approved,HDAC
32,740.0,METHOTREXATE,FDA approved,Df|DHFR,713563.0,Exemestane,FDA approved,Ho|CYP19A1
33,740.0,METHOTREXATE,FDA approved,Df|DHFR,715055.0,Gefitinib,FDA approved,"PK:YK,EGFR"
