,NSC,Drug_name,Status,MOA,SID
0,1.0,tolylquinone,-,-,-
1,17.0,4-AMINO-3-PENTADECYLPHENOL,-,-,219123
2,89.0,(dimethylamino)propiophenone hydrochloride,-,-,-
3,185.0,Cactinomycin,-,-,-
4,295.0,2-Phenylbutyric Acid,-,-,4775
5,353.0,CHLORO-9-[[3-(DIETHYLAMINO)PROPYL]AMINO]-2-METHOXYACRIDI...,-,-,24180741
6,384.0,"7-CHLORO-9-[[3-(DIPENTYLAMINO)PROPYL]AMINO]-1,2,3,4-TETR...",-,-,54599265
7,534.0,ACETOXYPHENANTHRYLMERCURY,-,-,16685698
8,596.0,"3-BROMO-2,4,6-TRINITROTOLUENE",-,-,219376
9,629.0,Bioxiran,-,-,11254
10,721.0,isatin thiosemicarbazone,-,-,690109
11,739.0,AMINOPTERIN,-,DHFR,-
12,740.0,METHOTREXATE,FDA approved,Df|DHFR,126941
13,742.0,azaserin,-,-,460129
14,749.0,8-Azaguanine,-,-,-
15,752.0,6-THIOGUANINE,FDA approved,Ds|IMPDH2|IMPDH,-
16,755.0,6-MERCAPTOPURINE,FDA approved,Ds|PPAT,-
17,757.0,Colchicine,FDA approved,TUBB,-
18,762.0,Nitrogen mustard,FDA approved,A7|AlkAg,-
19,798.0,3-PHENYL-1-(2-PYRIDYL)-2-PROPEN-1-ONE,-,-,-
20,830.0,4-Pyridineacrylic acid,-,-,736782
21,885.0,"3,3'-DIAMINO-4,4'-BIS(DIMETHYLAMINO)BENZOPHENONE",-,-,-
22,1010.0,7-[.ALPHA.-(P-NITROANILINO)BENZYL]-8-QUINOLINOL,-,-,219563
23,1011.0,P-[[.ALPHA.-(8-HYDROXY-7-QUINOLYL)BENZYL]AMINO]BENZOIC ACID,-,-,219564
24,1012.0,wln: t66 bnj iyr&mr bvq& jq,-,-,95307
25,1013.0,7-(.ALPHA.-ANILINO-P-NITROBENZYL)-8-QUINOLINOL,-,-,219565
26,1014.0,7-[.ALPHA.-[(4-METHYL-2-PYRIDYL)AMINO]BENZYL]-8-QUINOLINOL,-,-,219566
27,1026.0,acpc,-,-,2901
28,1027.0,"1,1,3-TRIBROMO-3-METHYL-2-BUTANONE",-,-,219573
29,1063.0,6-CHLORO-2-METHOXY-9-[(5-PIPERIDINOPENTYL)AMINO]ACRIDINE,-,-,219600
30,1199.0,"2-(ISOBORNYLOXY)-1,1-DIMETHYLETHYLAMINE",-,-,219648
31,1338.0,N-DECYL-2-IODOACETAMIDE,-,-,219690
32,1390.0,Allopurinol,FDA approved,AM|XDH,-
33,1393.0,Pyrazoloadenine,-,-,75420
34,1433.0,"4-(BUTYLAMINO)-1-PHENYL-1H-PYRAZOLO[3,4-D]PYRIMIDINE",-,-,219760
35,1460.0,tryptazan,-,-,95318
36,1482.0,2-(2-METHYL-2-NITROPROPOXY)BORNANE,-,-,-
37,1507.0,"2-CHLORO-3-PHENOXY-1,4-NAPHTHOQUINONE",-,-,219799
38,1760.0,"3-PHENANTHRENEPROPIONIC ACID, HYDRAZIDE",-,-,219939
39,1771.0,Thiram,-,-,-
40,1797.0,o-Aminoazotoluene,-,-,-
41,1895.0,GUANAZOLE,-,A7,15078
42,1906.0,pmp (van),-,-,-
43,1910.0,Alkarsodyl,-,-,-
44,1945.0,"GLUCONIC ACID, BARIUM SALT",-,-,5351603
45,2012.0,1-DODECYL-4-NONYLPYRIDINIUM CHLORIDE,-,-,24180869
46,2013.0,declid,-,-,-
47,2039.0,oxin,-,-,-
48,2053.0,TRIS(4-BIPHENYLYL)METHANOL,-,-,219999
49,2061.0,3-(2-furyl)acrolein,-,-,-
50,2186.0,thymophthalein,-,-,31316
51,2384.0,"2,6-dibenzylidenecyclohexanone",-,-,-
52,2604.0,D.b.t.c.,-,-,12688
53,2626.0,Propyl Gallate,-,-,4947
54,2724.0,phenyl p-tolyl sulfone,-,-,-
55,2755.0,avlon,-,-,-
56,2785.0,QAICTYKDANKDKI-UHFFFAOYSA-N,-,-,135399288
57,2805.0,"2,2',5,5'-Tetrahydroxy-4,4'-dimethylbiphenyl",-,-,220284
58,2829.0,vetol,-,-,-
59,3039.0,SODIUM PHENYLACETATE,-,-,-
60,3053.0,Actinomycin D,FDA approved,Db,-
61,3055.0,puromycin,-,-,-
62,3060.0,Potassium arsenite,-,-,-
63,3061.0,malacid,FDA approved,DHFR,-
64,3062.0,Etoprine,-,-,29142
65,3073.0,facid,-,-,-
66,3074.0,Chlorazin,-,-,-
67,3077.0,D 54,-,-,-
68,3080.0,d 69,-,-,-
69,3081.0,-,-,-,-
70,3082.0,x 49,-,-,-
71,3083.0,"1-(3-Chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride",-,-,24180956
72,3088.0,Chlorambucil,FDA approved,A7|AlkAg,-
73,3090.0,badil,FDA approved,-,-
74,3091.0,Methyl green,-,-,-
75,3093.0,crude pyronine b,-,-,-
76,3094.0,PDMT,-,-,23654
77,3262.0,"2,5-Bis(ethylamino)hydroquinone",-,-,94797
78,3265.0,-,-,-,-
79,3284.0,wln: t6nj c- bt5ktj a1 a2- at5ktj a1 b- ct6nj &q 2 &i 2,-,-,-
80,3298.0,"Phenol, 2-methoxy-4-(2-nitropropenyl)-",-,-,-
81,3424.0,quinacrine mustard,-,-,-
82,3531.0,clioquinol,-,-,-
83,3618.0,"4-N-(7-Chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine",-,-,220625
84,3628.0,-,-,-,-
85,3799.0,AI3-08904,-,-,6436750
86,3808.0,"2,4-dinitrobromobenzene",-,-,11441
87,3840.0,Chloro-(5-chlorothiophen-2-yl)mercury,-,-,407288
88,3847.0,1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one,-,-,220712
89,3852.0,Hydron III,-,-,19103
90,3877.0,-,-,-,-
91,3905.0,tripyridyl,-,-,-
92,3907.0,"Benzoic acid, 2-hydroxy-, compd. with 8-quinolinol (1:1)...",-,-,142766
93,3927.0,thiolutin,-,-,6870
94,3941.0,-,-,-,-
95,3970.0,pyrod,-,-,-
96,4045.0,auramin,-,-,-
97,4060.0,urson,-,-,64945
98,4112.0,Fenticlor,-,-,-
99,4114.0,Morpholine-N-dithiocarbamate,-,-,72675
100,4170.0,kipca,-,-,-
101,4184.0,"p,p'-Dihydroxystilbene",-,-,5282363
102,4232.0,"3-[(2-Oxo-1,2-diphenylethyl)amino]benzoic acid",-,-,220828
103,4236.0,4m2o,-,-,668053
104,4238.0,2m2m,-,-,-
105,4239.0,4m2m,-,-,-
106,4265.0,Phenanthroline hydrochloride,-,-,-
107,4272.0,5-methylphenanthroline,-,-,72791
108,4280.0,neocuproin,-,-,65237
109,4281.0,"4,7-Dimethyl-o-phenanthroline",-,-,72792
110,4285.0,STK862428,-,-,14161
111,4290.0,1-[2-(4-Nitrophenyl)-2-oxoethyl]-4-pentylpyridin-1-ium bromide,-,-,24181037
112,4291.0,Masoprocol,FDA approved,-,-
113,4320.0,strophanthin,-,-,-
114,4375.0,Hydroxychloroquine Sulfate,FDA approved,Immunomodulatory,-
115,4378.0,1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride,-,-,24181064
116,4432.0,genacryl pink g,-,-,6433371
117,4434.0,nabor orange r,-,-,-
118,4483.0,omadine sodium,-,-,-
119,4512.0,2-Iodo-3-(phenylsulfonyl)propanenitrile,-,-,220946
120,4518.0,Bis(4-amino-3-bromophenyl)methanone,-,-,220951
121,4582.0,"(1Z,4E)-1,5-Bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one",-,-,54603154
122,4623.0,"1H-Imidazole-4,5-dicarboxylic acid, 2-phenyl- (9CI)",-,-,221007
123,4644.0,Betulin,-,-,-
124,4681.0,2-[4-(Carboxymethoxy)phenoxy]acetic acid,-,-,24181093
125,4698.0,-,-,-,-
126,4722.0,aloin,FDA approved,-,221037
127,4728.0,Aminothiadiazole,-,-,19909
128,4810.0,-,-,-,-
129,4844.0,"N-Benzyl-N,N-dimethylhexadecan-1-aminium hexafluorophosphate",-,-,24181101
130,4857.0,dedc,-,-,-
131,4896.0,quinalizarin,-,-,-
132,4911.0,Thioinosine,-,-,-
133,4962.0,p-Toluhydroquinol,-,-,-
134,4972.0,tbhq,-,-,16043
135,5006.0,C.I. 42510 acetate,-,-,-
136,5011.0,Brilliant Green,-,-,-
137,5019.0,violet bnp,-,-,-
138,5031.0,"D-Glucopyranose, pentakis[3,4-dihydroxy-5-[(3,4,5-trihyd...",-,-,16129878
139,5048.0,magneson ii,-,-,79174
140,5053.0,tptz,-,-,9283
141,5062.0,allyliodourotropine,-,-,-
142,5066.0,"2,4-Dihydroxy-6-methyl-4'-nitroazobenzene",-,-,69095
143,5113.0,POMIFERIN,-,-,4871
144,5159.0,chartreusin,-,-,-
145,5192.0,"5,6-Chrysenedione",-,-,16317
146,5200.0,py 40,-,-,135403411
147,5206.0,"1-(3-Bromophenyl)-2-undecyl-2H-1,3,5-triazine-4,6-diamine hydrochloride",-,-,24181145
148,5278.0,olpizan,-,-,17584
149,5283.0,chlorotriethyltin,-,-,13820
150,5332.0,pan (van),-,-,6825
151,5337.0,vancide 26,-,-,79411
152,5347.0,(o-carboxyphenylthio)acetic acid,-,-,-
153,5355.0,Berberal,-,-,-
154,5364.0,cinchonidine,FDA approved,-,-
155,5366.0,Noscapine,FDA approved,-,-
156,5417.0,"1-Naphthalenol, 4-nitroso- (9CI)",-,-,-
157,5418.0,"p-Nitroso-N,N-diethylaniline",-,-,67115
158,5425.0,"9,10-Phenanthrenedione, 2-nitro- (9CI)",-,-,-
159,5485.0,"1,3-Bis(7-chloroquinolin-4-ylamino)propan-2-ol",-,-,221231
160,5491.0,Ethyl red,-,-,-
161,5550.0,Malachite green oxalate,-,-,407450
162,5551.0,wln: t b566 ck esj c1 d1u1r dn1&1 &i,-,-,6433478
163,5620.0,"2,2'-(2-Oxo-3,4-dihydro-2h-1,4-benzothiazine-3,3-diyl)diacetic acid",-,-,221258
164,5639.0,phenylbenzophenone,-,-,407452
165,5648.0,thonzide,-,-,-
166,5703.0,"5-(3,4,5-Trimethoxyphenyl)[1,3]dioxolo[4,5-g]isoquinoline",-,-,221307
167,5705.0,"Methyl 8-hydroxy-5-(3,4,5-trimethoxyphenyl)benzo[f][1,3]benzodioxole-6-carboxylate",-,-,221309
168,5816.0,wln: gr dmyus&mvr,-,-,701011
169,5889.0,l-Usnic acid,-,-,-
170,5890.0,D-Usnic acid,-,-,-
171,5896.0,Sodium;5-[(6-methoxyquinolin-8-yl)diazenyl]quinolin-8-ol,-,-,135436503
172,5907.0,Acetic acid;6-methoxy-4-[(E)-2-(6-methoxyquinolin-4-yl)ethenyl]quinoline,-,-,16682406
173,5908.0,"9-(6-Methoxy-3,4-dihydro-2H-quinolin-1-yl)acridine",-,-,221375
174,5920.0,"4-[[4-(Dimethylamino)phenyl]methyl]-6-[(6-methoxyquinolin-8-yl)diazenyl]-1-N,1-N-dimethylbenzene-1,3-diamine",-,-,407487
175,6145.0,"1,2-Dibenzoylbenzene",-,-,70875
176,6152.0,Chrysarobin,-,-,-
177,6171.0,cineol,-,-,-
178,6176.0,cinchonine,-,-,-
179,6266.0,dibenzoylmethane,-,-,8433
180,6278.0,2-aminonaphthiazole,-,-,94880
181,6386.0,bialamicol,-,-,-
182,6396.0,Thiotepa,FDA approved,A7|AlkAg,-
183,6477.0,nf 23,-,-,899314
184,6777.0,ALBB-024793,-,-,221765
185,6814.0,erucic acid,-,-,-
186,6883.0,72I9A2I712,-,-,221812
187,6891.0,"N-(4-Bromophenyl)-3,4-dichlorobenzamide",-,-,221819
188,6926.0,-,-,-,-
189,7215.0,tetraaminoditolylmethane,-,-,-
190,7223.0,chrome black t,-,-,-
191,7233.0,"9,24-Dibromononacyclo[18.10.2.22,5.03,16.04,13.06,11.017,31.022,27.028,32]tetratriaconta-1(31),2,4,6(11),7,9,13,15,17,19,22(27),23,25,28(32),29,33-hexadecaene-12,21-dione",-,-,222032
192,7354.0,6-hydrazinopurine,-,-,94902
193,7359.0,xylosyl a,-,-,-
194,7364.0,ddmp,-,-,-
195,7365.0,Diazooxonorleucine,-,-,-
196,7376.0,-,-,-,-
197,7389.0,phenanthraquinone,-,-,-
198,7390.0,-,-,-,-
199,7420.0,5-Bromo-3-cyclohexyl-2-hydroxybenzamide,-,-,222105
200,7436.0,"Sulfanilanilide, 4'-tert-butyl-",-,-,222114
201,7519.0,"BUPHANIDRINE, PERCHLORATE",-,-,457798
202,7521.0,simeon,-,-,-
203,7525.0,transvaalin,-,-,222156
204,7529.0,digimed,-,-,-
205,7530.0,strophanthoside-k,-,-,-
206,7532.0,Adigal,-,-,-
207,7533.0,Allocor,-,-,-
208,7534.0,"SCILLIROSIDIN, GLYCOSIDE",-,-,222160
209,7535.0,lanatoside b,-,-,-
210,7606.0,Alantan,-,-,-
211,7757.0,Bornyl cinnamate,-,-,-
212,7801.0,mauve,-,-,407617
213,7811.0,Bindschedler's green,-,-,73516
214,7813.0,Brilliant Cresyl Blue,-,-,24181324
215,7821.0,capri blue,-,-,102162
216,7833.0,krisolamine,-,-,-
217,7853.0,"2,6-Dichloro-7-methylpurine",-,-,75281
218,8101.0,Inosite,-,-,-
219,8117.0,erycorbin,-,-,-
220,8120.0,mycoin,-,-,-
221,8174.0,Phenylbiguanide mbt-salt,-,-,3034162
222,8179.0,-,-,-,-
223,8360.0,"N-(6-Chloro-2-methoxyacridin-9-yl)-N',N'-diethyl-1-(4-fluorophenyl)butane-1,4-diamine",-,-,222439
224,8552.0,9-Chlorophenanthrene,-,-,13694
225,8643.0,gallamine blue,-,-,135436514
226,8672.0,hofmann's violet,-,-,24181402
227,8673.0,iodine green,-,-,54605107
228,8675.0,ethyl violet,-,-,16955
229,8704.0,dyodin,-,-,-
230,8786.0,diacetoxybutyltin,-,-,16682740
231,8806.0,Melphalan,FDA approved,A7|AlkAg,-
232,8974.0,Bis(4-bromophenyl)iodanium;hydroiodide,-,-,54609012
233,8982.0,"Diphenyliodanium;2,4,6-trinitrophenol",-,-,24181416
234,8985.0,Di-p-tolyliodinium bromide,-,-,-
235,8994.0,Bis(4-tert-butylphenyl)iodanium;hydrochloride,-,-,54602012
236,8995.0,rot c,-,-,-
