,0
786-0,1
A498,12
A549/ATCC,13
ACHN,14
BT-549,15
CAKI-1,17
CCRF-CEM,20
COLO 205,24
DU-145,32
EKVX,33
HCC-2998,36
HCT-116,37
HCT-15,47
HL-60(TB),48
HOP-62,50
HOP-92,51
HS 578T,52
HT29,54
IGROV1,56
K-562,58
KM12,59
LOX IMVI,62
M14,65
MALME-3M,67
MCF7,69
MDA-MB-231/ATCC,72
MDA-MB-435,73
MDA-MB-468,75
MOLT-4,82
NCI-H226,85
NCI-H23,86
NCI-H322M,87
NCI-H460,88
NCI-H522,89
NCI/ADR-RES,90
OVCAR-3,94
OVCAR-4,95
OVCAR-5,96
OVCAR-8,97
PC-3,101
RPMI-8226,106
RXF 393,107
SF-268,110
SF-295,111
SF-539,112
SF-539,113
SK-MEL-2,116
SK-MEL-28,117
SK-MEL-5,118
SK-OV-3,119
SN12C,121
SNB-19,123
SNB-75,124
SR,126
SW-620,132
T-47D,133
TK-10,138
U251,145
UACC-257,148
UACC-62,149
UO-31,151
