NSC,LOG_HI_CONCENTRATION
707389,-10.0
619029,-9.0
265450,-8.0
641318,-8.0
641319,-8.0
641320,-8.0
641321,-8.0
4320,-8.0
376128,-8.0
645803,-7.0
611747,-7.0
7521,-7.0
683864,-7.0
70929,-7.0
630176,-7.0
667642,-7.0
648766,-7.0
226080,-7.0
153858,-7.0
645804,-7.0
325319,-7.0
325663,-7.0
722517,-7.0
526417,-7.0
722518,-7.0
49842,-7.0
3053,-6.6021
674504,-6.0
785527,-6.0
618487,-6.0
785526,-6.0
674500,-6.0
684906,-6.0
684907,-6.0
674351,-6.0
674350,-6.0
674349,-6.0
684908,-6.0
65104,-6.0
216128,-6.0
53292,-6.0
724579,-6.0
681239,-6.0
684905,-6.0
669356,-6.0
332890,-6.0
606985,-6.0
633555,-6.0
650426,-6.0
143648,-6.0
45383,-6.0
626370,-6.0
626369,-6.0
703147,-6.0
268251,-6.0
400978,-6.0
363979,-6.0
684901,-6.0
684902,-6.0
684903,-6.0
352122,-6.0
7525,-6.0
820332,-6.0
670547,-6.0
83950,-6.0
352890,-6.0
674509,-6.0
626371,-6.0
684904,-6.0
633713,-6.0
330770,-6.0
68989,-6.0
700371,-6.0
269754,-6.0
700373,-6.0
348115,-6.0
299933,-6.0
643407,-6.0
103837,-6.0
645806,-6.0
76411,-6.0
700370,-6.0
639187,-6.0
700369,-6.0
700368,-6.0
676514,-6.0
641454,-6.0
259969,-6.0
175636,-6.0
700372,-6.0
165897,-6.0
785028,-6.0
633273,-6.0
783538,-6.0
681228,-6.0
699490,-6.0
700367,-6.0
687160,-6.0
681226,-6.0
643406,-6.0
609394,-5.8297
647036,-5.699
647037,-5.699
801014,-5.6021
677083,-5.6021
801013,-5.6021
609395,-5.5935
812730,-5.5229
812731,-5.5229
363980,-5.4437
378736,-5.4377
378734,-5.4377
617668,-5.3979
775609,-5.3585
332598,-5.301
800698,-5.2218
775507,-5.2041
800717,-5.2041
823769,-5.1707
794096,-5.1249
751478,-5.1249
295662,-5.1249
794100,-5.1024
786064,-5.0835
797911,-5.0794
797912,-5.0794
794097,-5.058
813901,-5.058
797910,-5.0458
661418,-5.0
661428,-5.0
661227,-5.0
661229,-5.0
661427,-5.0
663784,-5.0
800079,-5.0
661228,-5.0
661424,-5.0
661426,-5.0
800084,-5.0
661421,-5.0
800076,-5.0
800077,-5.0
661423,-5.0
800081,-5.0
661420,-5.0
661422,-5.0
661419,-5.0
800080,-5.0
603071,-5.0
800086,-5.0
800087,-5.0
661245,-5.0
661244,-5.0
800089,-5.0
800091,-5.0
661243,-5.0
661429,-5.0
661242,-5.0
800092,-5.0
800094,-5.0
800095,-5.0
800105,-5.0
800102,-5.0
800101,-5.0
800099,-5.0
661246,-5.0
661247,-5.0
661248,-5.0
661249,-5.0
661417,-5.0
32944,-5.0
661416,-5.0
800111,-5.0
800109,-5.0
661415,-5.0
661414,-5.0
800085,-5.0
661413,-5.0
661404,-5.0
661403,-5.0
800108,-5.0
800107,-5.0
800106,-5.0
661250,-5.0
653685,-5.0
661412,-5.0
661430,-5.0
661470,-5.0
661438,-5.0
661827,-5.0
661826,-5.0
661825,-5.0
661824,-5.0
135964,-5.0
135975,-5.0
135976,-5.0
135983,-5.0
135996,-5.0
136014,-5.0
639669,-5.0
663664,-5.0
661823,-5.0
661822,-5.0
663666,-5.0
661821,-5.0
661820,-5.0
661819,-5.0
661818,-5.0
661817,-5.0
661816,-5.0
661815,-5.0
661814,-5.0
661813,-5.0
661812,-5.0
663663,-5.0
661811,-5.0
663662,-5.0
661829,-5.0
661911,-5.0
661910,-5.0
661909,-5.0
661908,-5.0
661907,-5.0
661906,-5.0
661905,-5.0
661904,-5.0
661903,-5.0
661902,-5.0
661901,-5.0
661900,-5.0
661842,-5.0
661841,-5.0
710092,-5.0
661840,-5.0
661838,-5.0
710091,-5.0
661837,-5.0
661836,-5.0
663658,-5.0
661833,-5.0
661832,-5.0
661831,-5.0
661830,-5.0
661828,-5.0
640674,-5.0
639637,-5.0
663667,-5.0
661467,-5.0
661466,-5.0
661465,-5.0
661464,-5.0
661463,-5.0
661462,-5.0
661460,-5.0
661452,-5.0
661449,-5.0
661448,-5.0
661447,-5.0
663782,-5.0
661446,-5.0
661445,-5.0
661444,-5.0
622600,-5.0
661443,-5.0
622598,-5.0
661442,-5.0
709882,-5.0
709880,-5.0
33434,-5.0
661441,-5.0
663783,-5.0
661439,-5.0
661468,-5.0
661469,-5.0
800075,-5.0
668555,-5.0
661810,-5.0
661809,-5.0
661808,-5.0
661807,-5.0
661806,-5.0
661803,-5.0
663668,-5.0
661751,-5.0
661750,-5.0
663669,-5.0
663670,-5.0
663706,-5.0
661437,-5.0
661746,-5.0
663775,-5.0
661585,-5.0
663776,-5.0
661584,-5.0
653862,-5.0
663777,-5.0
663778,-5.0
663779,-5.0
663780,-5.0
663781,-5.0
661472,-5.0
661471,-5.0
663774,-5.0
661226,-5.0
767783,-5.0
661224,-5.0
663895,-5.0
663896,-5.0
663897,-5.0
663898,-5.0
663899,-5.0
799370,-5.0
660831,-5.0
660830,-5.0
660829,-5.0
660828,-5.0
660827,-5.0
660826,-5.0
663894,-5.0
660825,-5.0
660823,-5.0
660822,-5.0
799364,-5.0
799363,-5.0
799362,-5.0
799361,-5.0
799360,-5.0
799359,-5.0
799358,-5.0
799356,-5.0
799354,-5.0
799353,-5.0
660824,-5.0
